total_number_of_tweets,positive_percentage,neutral_percentage,negative_percentage
198330,48.5377905511017,40.9368224676045,10.525386981293803
67004,37.22016596024118,55.519073488149964,7.260760551608859
320430,45.59342134007427,46.43884779827108,7.967730861654651
31397,41.05487785457209,50.84243717552632,8.102684969901583
66758,68.78126966056503,24.175379729770214,7.043350609664759
202527,46.85745604289799,40.28055518523456,12.861988771867455
84750,41.30383480825959,46.15457227138643,12.541592920353983
77113,75.63705211831987,18.864523491499487,5.498424390180644
181977,50.575072674019246,35.891348906729974,13.533578419250784
102457,46.94847594600662,44.78268932332588,8.2688347306675
