,tweet id,text,created at,preprocessed tweets,sentiment scores,sentiment
0,1.1005e+18,"Pokémon Sword and Pokémon Shield will be the titles of the Gen 8 games revealed tomorrow.  

You saw this here",2019-02-26 21:13:16+00:00,"Pokémon Sword and Pokémon Shield will be the titles of the Gen 8 games revealed tomorrow.  

You saw this here",[0.00406549 0.7899957  0.20593888],Neutral
1,1.10042e+18,@TyranitarTube watch it just be something like Pokemon Sword and Shield with that England region,2019-02-26 15:25:50+00:00,@user watch it just be something like Pokemon Sword and Shield with that England region,[0.04192754 0.8382609  0.11981154],Neutral
2,1.09881e+18,"Making one final assumption to possible Pokemon titles in case gen 8 gets indeed announced next week.

1. Pokemon King/Queen
2. Pokemon Peak/Abyss
3. Pokemon Sword/Shield
4. Pokemon Summer/Winter
5. Pokemon Plus/Minus
6. Pokemon Infinity/Zero

Can’t think of anything else...",2019-02-22 04:47:34+00:00,"Making one final assumption to possible Pokemon titles in case gen 8 gets indeed announced next week.

1. Pokemon King/Queen
2. Pokemon Peak/Abyss
3. Pokemon Sword/Shield
4. Pokemon Summer/Winter
5. Pokemon Plus/Minus
6. Pokemon Infinity/Zero

Can’t think of anything else...",[0.01613074 0.88745654 0.0964127 ],Neutral
3,1.09848e+18,"@msverox3 Naruto
Naruto: Shippuden
Dragon Ball Z
Pokemon
Sword Art Online
Bleach
Dragon Ball Super",2019-02-21 07:27:16+00:00,"@user Naruto
Naruto: Shippuden
Dragon Ball Z
Pokemon
Sword Art Online
Bleach
Dragon Ball Super",[0.01154908 0.80953676 0.17891413],Neutral
4,1.09834e+18,"@TyranitarTube Pokemon Sword and Pokemon Shield

Pokemon Dreams and Pokemon Nightmares 

Pokemon Heaven and Pokemon Hell

Pokemon Sky and Pokemon Earth

Pokemon King and Pokemon Queen

Pokemon Solid and Pokemon Liquid  (the third version could be Pokemon Gas, Gas Types revealed)",2019-02-20 21:47:50+00:00,"@user Pokemon Sword and Pokemon Shield

Pokemon Dreams and Pokemon Nightmares 

Pokemon Heaven and Pokemon Hell

Pokemon Sky and Pokemon Earth

Pokemon King and Pokemon Queen

Pokemon Solid and Pokemon Liquid  (the third version could be Pokemon Gas, Gas Types revealed)",[0.01155537 0.9000985  0.08834619],Neutral
5,1.09833e+18,"@TyranitarTube Pokemon Sword and Shield, lol (The remakes would be glistening sword and shining shield.)",2019-02-20 21:32:12+00:00,"@user Pokemon Sword and Shield, lol (The remakes would be glistening sword and shining shield.)",[0.00575776 0.36952636 0.6247159 ],Positive
6,1.09817e+18,"2. ) Main Fandom?
My Hero Academia,  Pokemon,  Sword Art Online,  and Tokyo Ghoul",2019-02-20 10:22:44+00:00,"2. ) Main Fandom?
My Hero Academia,  Pokemon,  Sword Art Online,  and Tokyo Ghoul",[0.00832442 0.64152336 0.35015216],Neutral
7,1.09579e+18,"I’m the NPC that repeats the same inconsequential phrase that’s unrelated to the plot but sounds deep, like “Once I had a [chicken / Pokémon / sword] too, but not everything lasts forever” https://t.co/vzqSOX65SZ",2019-02-13 21:18:50+00:00,"I’m the NPC that repeats the same inconsequential phrase that’s unrelated to the plot but sounds deep, like “Once I had a [chicken / Pokémon / sword] too, but not everything lasts forever” http",[0.34283996 0.60296047 0.05419956],Neutral
8,1.09505e+18,"So I watched Pokemon,shield hero and slime episodes ..and damn they were all fantastic ..must watch for all",2019-02-11 20:09:14+00:00,"So I watched Pokemon,shield hero and slime episodes ..and damn they were all fantastic ..must watch for all",[0.00340075 0.01624326 0.980356  ],Positive
9,1.09409e+18,Somebody please tell me that Pokémon Sword 🗡 &amp; shield 🛡 are true for Switch ! #PokemonGO #PokemonGOarplus #PokemonGOCommunityDay #PokemonGOfriend #pokemongotip #PokemonGOfriends #PokemonTCG #pogo #pvp #exraid #Exraids #palkia #pokemonletsgo #pokemonbattle,2019-02-09 04:16:11+00:00,Somebody please tell me that Pokémon Sword 🗡 &amp; shield 🛡 are true for Switch ! #PokemonGO #PokemonGOarplus #PokemonGOCommunityDay #PokemonGOfriend #pokemongotip #PokemonGOfriends #PokemonTCG #pogo #pvp #exraid #Exraids #palkia #pokemonletsgo #pokemonbattle,[0.01318878 0.4860584  0.50075287],Positive
